"Issuer Company","Issue Type","Listing Date","Issue Size","Subscribed","Issue Price","Listing Day Price","Current Price","52 Week High","52 Week Low","Recommendation by Dilip Davda"
"Jay Kailash Namkeen Limited","SME","Apr 08, 2024","Rs 11.93 Cr","40.02x","Rs 73.00","Rs 80.75 (10.62%)","Rs 61.00 (-16.44%)","Rs 89.00 (Apr 24, 2024)","Rs 49.86 (Jun 05, 2024)","Avoid"
"Radiowalla Network Limited","SME","Apr 05, 2024","Rs 14.25 Cr","307.54x","Rs 76.00","Rs 126.15 (65.99%)","Rs 130.70 (71.97%)","","","Apply"
"TAC Infosec Limited","SME","Apr 05, 2024","Rs 29.99 Cr","422.03x","Rs 106.00","Rs 304.50 (187.26%)","Rs 522.15 (392.59%)","","","Apply"
"Trust Fintech Limited","SME","Apr 04, 2024","Rs 63.45 Cr","108.63x","Rs 101.00","Rs 150.40 (48.91%)","Rs 178.65 (76.88%)","","","Apply"
"Vruddhi Engineering Works Limited","SME","Apr 03, 2024","Rs 4.76 Cr","12.67x","Rs 70.00","Rs 74.55 (6.5%)","Rs 261.30 (273.29%)","Rs 352.50 (May 30, 2024)","Rs 71.00 (Apr 03, 2024)","Avoid"
"Aspire & Innovative Advertising Limited","SME","Apr 03, 2024","Rs 21.97 Cr","15.17x","Rs 54.00","Rs 59.30 (9.81%)","Rs 109.90 (103.52%)","","","May apply"
"Blue Pebble Limited","SME","Apr 03, 2024","Rs 18.14 Cr","56.32x","Rs 168.00","Rs 208.95 (24.38%)","Rs 300.45 (78.84%)","","","May apply"
"GConnect Logitech and Supply Chain Limited","SME","Apr 03, 2024","Rs 5.60 Cr","57.38x","Rs 40.00","Rs 44.10 (10.25%)","Rs 83.00 (107.5%)","Rs 87.40 (Jul 15, 2024)","Rs 32.20 (May 24, 2024)","Avoid"
"Naman In-Store (India) Limited","SME","Apr 02, 2024","Rs 25.35 Cr","309.03x","Rs 89.00","Rs 118.75 (33.43%)","Rs 126.50 (42.13%)","","","May apply"
"Vishwas Agri Seeds Limited","SME","Apr 01, 2024","Rs 25.80 Cr","12.21x","Rs 86.00","Rs 83.60 (-2.79%)","Rs 80.70 (-6.16%)","","","Apply"
"Omfurn India Limited","SME","Mar 28, 2024","Rs 27.00 Cr","3.57x","Rs 75.00","Rs 76.60 (2.13%)","Rs 67.15 (-10.47%)","","","May apply"
"Chatha Foods Limited","SME","Mar 27, 2024","Rs 34.00 Cr","19.28x","Rs 56.00","Rs 72.82 (30.04%)","Rs 140.90 (151.61%)","Rs 147.00 (Jul 15, 2024)","Rs 65.73 (Apr 02, 2024)","Apply"
"KP Green Engineering Limited","SME","Mar 22, 2024","Rs 189.50 Cr","29.5x","Rs 144.00","Rs 210.00 (45.83%)","Rs 536.85 (272.81%)","Rs 716.75 (May 17, 2024)","Rs 200.00 (Mar 22, 2024)","Apply"
"Enser Communications Limited","SME","Mar 22, 2024","Rs 16.17 Cr","7.29x","Rs 70.00","Rs 70.10 (0.14%)","Rs 212.50 (203.57%)","","","May apply"
"Enfuse Solutions Limited","SME","Mar 22, 2024","Rs 22.44 Cr","357.31x","Rs 96.00","Rs 115.45 (20.26%)","Rs 199.40 (107.71%)","","","May apply"
"AVP Infracon Limited","SME","Mar 20, 2024","Rs 52.34 Cr","21.45x","Rs 75.00","Rs 75.05 (0.07%)","Rs 141.65 (88.87%)","","","Apply"
"Royal Sense Limited","SME","Mar 19, 2024","Rs 9.86 Cr","8.52x","Rs 68.00","Rs 122.74 (80.5%)","Rs 151.00 (122.06%)","Rs 163.00 (Jul 02, 2024)","Rs 103.53 (Mar 27, 2024)","Avoid"
"Signoria Creation Limited","SME","Mar 19, 2024","Rs 9.28 Cr","666.32x","Rs 65.00","Rs 137.55 (111.62%)","Rs 135.00 (107.69%)","","","Apply"
"Pratham EPC Projects Limited","SME","Mar 18, 2024","Rs 36.00 Cr","178.54x","Rs 75.00","Rs 118.95 (58.6%)","Rs 293.75 (291.67%)","","","Apply"
"Pune E-Stock Broking Limited","SME","Mar 15, 2024","Rs 38.23 Cr","371.16x","Rs 83.00","Rs 133.18 (60.46%)","Rs 155.00 (86.75%)","Rs 178.70 (Jun 18, 2024)","Rs 114.20 (Mar 20, 2024)","Apply"
"Shree Karni Fabcom Limited","SME","Mar 14, 2024","Rs 42.49 Cr","296.43x","Rs 227.00","Rs 273.00 (20.26%)","Rs 783.35 (245.09%)","","","Apply"
"Koura Fine Diamond Jewelry Limited","SME","Mar 14, 2024","Rs 5.50 Cr","733.01x","Rs 55.00","Rs 78.63 (42.96%)","Rs 43.50 (-20.91%)","Rs 78.75 (Mar 14, 2024)","Rs 41.20 (Jul 15, 2024)","Avoid"
"Sona Machinery Limited","SME","Mar 13, 2024","Rs 51.82 Cr","273.5x","Rs 143.00","Rs 131.25 (-8.22%)","Rs 201.95 (41.22%)","","","May apply"
"V R Infraspace Limited","SME","Mar 12, 2024","Rs 20.40 Cr","93.41x","Rs 85.00","Rs 87.40 (2.82%)","Rs 185.00 (117.65%)","","","Avoid"
"M.V.K. Agro Food Product Ltd","SME","Mar 07, 2024","Rs 65.88 Cr","8.46x","Rs 120.00","Rs 82.95 (-30.88%)","Rs 60.35 (-49.71%)","","","May apply"
"Purv Flexipack Limited","SME","Mar 05, 2024","Rs 40.21 Cr","421.78x","Rs 71.00","Rs 247.00 (247.89%)","Rs 167.10 (135.35%)","","","Apply"
"Owais Metal and Mineral Processing Limited","SME","Mar 04, 2024","Rs 42.69 Cr","221.18x","Rs 87.00","Rs 262.50 (201.72%)","Rs 1,345.65 (1446.72%)","","","Avoid"
"Sadhav Shipping Limited","SME","Mar 01, 2024","Rs 38.18 Cr","135.69x","Rs 95.00","Rs 141.75 (49.21%)","Rs 224.15 (135.95%)","","","Apply"
"Zenith Drugs Limited","SME","Feb 27, 2024","Rs 40.68 Cr","179.18x","Rs 79.00","Rs 105.15 (33.1%)","Rs 90.05 (13.99%)","","","May apply"
"Deem Roll Tech Limited","SME","Feb 27, 2024","Rs 29.26 Cr","256.55x","Rs 129.00","Rs 209.70 (62.56%)","Rs 101.25 (-21.51%)","","","May apply"
"Interiors and More Limited","SME","Feb 23, 2024","Rs 42.00 Cr","11.22x","Rs 227.00","Rs 283.50 (24.89%)","Rs 269.00 (18.5%)","","","Avoid"
"Esconet Technologies Limited","SME","Feb 23, 2024","Rs 28.22 Cr","507.24x","Rs 84.00","Rs 275.50 (227.98%)","Rs 326.00 (288.1%)","","","May apply"
"Kalahridhaan Trendz Limited","SME","Feb 23, 2024","Rs 22.49 Cr","8.15x","Rs 45.00","Rs 49.50 (10%)","Rs 46.85 (4.11%)","","","May apply"
"Atmastco Limited","SME","Feb 23, 2024","Rs 56.25 Cr","17.61x","Rs 77.00","Rs 95.55 (24.09%)","Rs 305.95 (297.34%)","","","May apply"
"Thaai Casting Ltd","SME","Feb 23, 2024","Rs 47.20 Cr","375.43x","Rs 77.00","Rs 195.15 (153.44%)","Rs 201.55 (161.75%)","","","Apply"
"Wise Travel India Limited","SME","Feb 19, 2024","Rs 94.68 Cr","163.46x","Rs 147.00","Rs 204.75 (39.29%)","Rs 299.20 (103.54%)","","","Apply"
"Polysil Irrigation Systems Limited","SME","Feb 16, 2024","Rs 17.44 Cr","6.88x","Rs 54.00","Rs 54.25 (0.46%)","Rs 35.30 (-34.63%)","","","Avoid"
"Alpex Solar Limited","SME","Feb 15, 2024","Rs 74.52 Cr","324.03x","Rs 115.00","Rs 345.45 (200.39%)","Rs 830.20 (621.91%)","","","Apply"
"Rudra Gas Enterprise Limited","SME","Feb 15, 2024","Rs 14.16 Cr","350.75x","Rs 63.00","Rs 125.68 (99.49%)","Rs 159.15 (152.62%)","Rs 259.90 (Mar 04, 2024)","Rs 119.70 (Feb 15, 2024)","Apply"
"Italian Edibles Limited","SME","Feb 12, 2024","Rs 26.66 Cr","154.43x","Rs 68.00","Rs 57.75 (-15.07%)","Rs 34.80 (-48.82%)","","","Avoid"
"Gabriel Pet Straps Limited","SME","Feb 07, 2024","Rs 8.06 Cr","246.2x","Rs 101.00","Rs 120.75 (19.55%)","Rs 144.50 (43.07%)","Rs 170.15 (Feb 21, 2024)","Rs 111.20 (Feb 07, 2024)","Avoid"
"Baweja Studios Limited","SME","Feb 06, 2024","Rs 97.20 Cr","2.62x","Rs 180.00","Rs 173.85 (-3.42%)","Rs 86.70 (-51.83%)","","","Avoid"
"Megatherm Induction Limited","SME","Feb 05, 2024","Rs 53.91 Cr","196.11x","Rs 108.00","Rs 207.90 (92.5%)","Rs 381.95 (253.66%)","","","May apply"
"Mayank Cattle Food Limited","SME","Feb 05, 2024","Rs 19.44 Cr","8.83x","Rs 108.00","Rs 119.95 (11.06%)","Rs 202.50 (87.5%)","Rs 235.05 (Jul 01, 2024)","Rs 112.80 (Mar 13, 2024)","Avoid"
"Harshdeep Hortico Limited","SME","Feb 05, 2024","Rs 19.09 Cr","131.69x","Rs 45.00","Rs 66.50 (47.78%)","Rs 71.60 (59.11%)","Rs 79.50 (Jul 16, 2024)","Rs 39.00 (Mar 27, 2024)","May apply"
"Fonebox Retail Limited","SME","Feb 02, 2024","Rs 20.37 Cr","659.42x","Rs 70.00","Rs 210.00 (200%)","Rs 200.00 (185.71%)","","","May apply"
"Docmode Health Technologies Limited","SME","Feb 02, 2024","Rs 6.71 Cr","215.24x","Rs 79.00","Rs 180.75 (128.8%)","Rs 96.40 (22.03%)","","","May apply"
"DelaPlex Limited","SME","Feb 02, 2024","Rs 46.08 Cr","177.8x","Rs 192.00","Rs 324.45 (68.98%)","Rs 267.05 (39.09%)","","","May apply"
"Brisk Technovision Limited","SME","Jan 31, 2024","Rs 12.48 Cr","47.1x","Rs 156.00","Rs 183.75 (17.79%)","Rs 148.00 (-5.13%)","Rs 191.80 (Feb 01, 2024)","Rs 118.80 (May 30, 2024)","Avoid"
"Addictive Learning Technology Limited","SME","Jan 30, 2024","Rs 60.16 Cr","273.12x","Rs 140.00","Rs 294.50 (110.36%)","Rs 296.00 (111.43%)","","","Apply"
